0002E1E1	Economic impact analysis
0004676F	Nyquist–Shannon sampling theorem
00046E64	Single domain
0007D0C4	Abcg2
00080BCB	Angle of attack
0013EE4C	Nested loop join
00180E2C	Matrix pencil
0018DF0C	CREB
0021A3E7	Meta element
00313DC8	Carry-save adder
003EDD0E	Peres–Horodecki criterion
004767BC	Aggregate
004AA418	Total suspended solids
0055C975	Bayer filter
006FBC48	Toda lattice
007C07DB	Incremental Dynamic Analysis
00818140	Decay-accelerating factor
0085C796	Dynamic compilation
008B5B4F	Raft
00B28BA6	SCCmec
00B41E57	Protein–protein interaction
00BEB106	Futures and promises
00C39FE8	Microfiber
00D169EB	Empirical orthogonal functions
00EA2F78	Tragedy
00F64A39	Gaussian curvature
00F7166F	Electrical length
011D6B59	Conformational isomerism
011F425B	Model–view–controller
012608B4	Satellite
01362709	Nonuniform sampling
013B5126	Urban ecosystem
0142A0DA	End-diastolic volume
0145995E	Information model
01489A5E	Permeance
015BE4B9	Maximum parsimony
016B1687	Suction
016F93D8	Effective mass
017B4777	Adaptive routing
018B3BB1	Flow map
01A9E660	Thermophile
01B4DFE8	Forest management
01C71907	Warning system
01DE45C2	NCEP/NCAR Reanalysis
01E125C8	Ketone bodies
01EBE19F	National accounts
02005B3E	Calculus
02007647	Color index
02031933	Diorite
021808F8	Memetic algorithm
021A176E	Opacifier
02235158	Software architecture
0223FA55	Double-precision floating-point format
02295383	Color model
023FB077	Heat pipe
025045E0	Real estate investment trust
0254B2DA	Dominance-based rough set approach
0258E55A	Hydrogen economy
025E61CC	Matrix similarity
0260B0A3	Hinge loss
02810BE9	Fuzzy set
028408D1	Liquid crystal on silicon
0286327C	Householder transformation
0288CD7B	Killing vector field
028CCB84	Digital image
02966809	Bimetallic strip
029E2467	e
02A1FFAB	External debt
02A349D4	Hardening
02B1E018	Biodegradable polymer
02BA94A8	Area
02CCC054	Gestation
02D950E2	Intelligent transportation system
02E3009C	Hydraulic cylinder
02FE1D9E	Section
03227A8D	Domain
03351B02	Centrality
0339A25E	Packet loss
033CAD4C	Atmospheric optics
034F2734	Energy flux
0362B382	Tuple space
0366E21E	MAPK/ERK pathway
03740BB9	Complexity management
0375CCFD	Hunter-gatherer
03769873	Silhouette
037F72DB	Food microbiology
038A00E9	COSMIC cancer database
038A8D3A	Biological warfare
038D9CF4	Eyewitness memory
03997EB9	Wiener process
039C7247	Strain gauge
03A8645E	Androgen receptor
03AC9F31	Temperament
03C89616	Dictator game
03D2C4FF	Ethnic studies
03DE146F	Elemental analysis
03EA785B	Transparency
041928E0	DEVS
042A8AF4	Pixel aspect ratio
042A8E46	Personality development
0434C7D9	Entropy
0438DF70	Impulse
0453A84B	Cherenkov radiation
045940F8	Trophic level
045D2BBF	Phase qubit
04846A1E	Periodic acid–Schiff stain
0486F342	Freedom of the press
04921B3A	DC motor
04BED661	Civics
04CDA9E0	Stripline
04D7C2E7	Diaphragm
04DE1397	Hydrobiology
04E58DA1	Poisson sampling
04E83767	Music history
04F6FD20	Locally integrable function
04F9C63F	Indoleamine 2,3-dioxygenase
04FF82B9	Environmental design
05022C9F	Victimology
050BBEAB	Compressibility
05194184	Productive capacity
051BBF29	Aluminosilicate
051E8074	Medium frequency
0528B91B	PI3K/AKT/mTOR pathway
053504B0	Synthetic aperture radar
0541ABAD	Glucose-6-phosphate isomerase
054A1233	Parallel
054FEB38	Instrumentation amplifier
